type,name,label,required,relevant,constraint,constraint_message,calculation,appearance,hint
integer,eb_requesting_assistance,Number requesting assistance,no,${everbridge_used} = 'yes',. >= 0,Value cannot be negative.,,,
integer,eb_no_response,Number not responding,no,${everbridge_used} = 'yes',. >= 0,Value cannot be negative.,,,
select_one yes_no,eb_accountability_complete,Accountability complete,no,${everbridge_used} = 'yes',,,,,
dateTime,eb_completion_time,Accountability completion time,no,${eb_accountability_complete} = 'yes',,,,,
select_one yes_no,eb_followup_required,Everbridge follow-up required,no,${everbridge_used} = 'yes',,,,,
end_group,everbridge_accountability_end,,,,,,,,
begin_group,member_impacts,Member impacts and assistance,,,,,field-list,,
integer,members_potentially_affected,Total members potentially affected,yes,,. >= 0,Value cannot be negative.,,,
integer,members_contacted,Members contacted,yes,,. >= 0,Value cannot be negative.,,,
integer,members_confirmed_safe,Members confirmed safe,yes,,. >= 0,Value cannot be negative.,,,
integer,members_not_accounted_for,Members not accounted for,yes,,. >= 0,Value cannot be negative.,,,
integer,members_displaced,Members displaced,yes,,. >= 0,Value cannot be negative.,,,
integer,members_property_damage,Members with property damage,yes,,. >= 0,Value cannot be negative.,,,
integer,members_injured,Members injured,yes,,. >= 0,Value cannot be negative.,,,
note,members_injured_notice,Critical incident reminder,no,${members_injured} > 0,,,,,Do not include medical or personally identifiable details here. Follow separate critical reporting procedures immediately.
integer,members_requesting_assistance,Members requesting assistance,yes,,. >= 0,Value cannot be negative.,,,
integer,open_assistance_cases,Open assistance cases,yes,,. >= 0,Value cannot be negative.,,,
text,impact_explanation,Impact explanation,yes,${members_displaced} > 0 or ${members_property_damage} > 0 or ${members_injured} > 0 or ${members_requesting_assistance} > 0 or ${members_not_accounted_for} > 0,,,,Brief operational explanation only
end_group,member_impacts_end,,,,,,,,
begin_group,cg_support,Coast Guard support activity,,,,,field-list,,
integer,cgarep_count,CGAREP personnel supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,imt_staff_count,IMT staff supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,air_crew_count,Air crew supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,surface_crew_count,Surface crew supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,communications_count,Communications personnel supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,culinary_assistance_count,Culinary assistance personnel,yes,,. >= 0,Value cannot be negative.,,,
integer,interpreter_count,Interpreters supporting response,yes,,. >= 0,Value cannot be negative.,,,
integer,other_support_count,Other support count,yes,,. >= 0,Value cannot be negative.,,,
text,other_support_description,Other support description,no,${other_support_count} > 0,,,,,
calculate,total_support_count,Total personnel supporting response,yes,,,,${cgarep_count} + ${imt_staff_count} + ${air_crew_count} + ${surface_crew_count} + ${communications_count} + ${culinary_assistance_count} + ${interpreter_count} + ${other_support_count},,
end_group,cg_support_end,,,,,,,,
begin_group,available_resources,Available resources,,,,,field-list,,
integer,air_available,Air crews or facilities available,yes,,. >= 0,Value cannot be negative.,,,
integer,surface_available,Surface crews or facilities available,yes,,. >= 0,Value cannot be negative.,,,
integer,radio_available,Radio resources available,yes,,. >= 0,Value cannot be negative.,,,
integer,vehicles_available,Vehicles available,yes,,. >= 0,Value cannot be negative.,,,
text,other_capabilities_available,Other capabilities available,no,,,,,,Short description
end_group,available_resources_end,,,,,,,,
begin_group,requested_resources,Requested resources,,,,,field-list,,
select_one yes_no,external_assistance_requested,Assistance requested from outside district,yes,,,,,minimal,
text,requested_capability,Resource or capability requested,yes,${external_assistance_requested} = 'yes',,,,,
integer,requested_quantity,Quantity requested,yes,${external_assistance_requested} = 'yes',. > 0,Quantity must be greater than zero.,,,
select_one requested_priority,requested_priority,Priority,yes,${external_assistance_requested} = 'yes',,,,,
dateTime,needed_by,Needed-by date and time,yes,${external_assistance_requested} = 'yes',,,,,
text,requesting_organization,Requesting organization,yes,${external_assistance_requested} = 'yes',,,,,
select_one request_status,request_status,Request status,yes,${external_assistance_requested} = 'yes',,,,,
text,assigned_organization,Assigned organization,no,${request_status} = 'assigned' or ${request_status} = 'fulfilled',,,,,
text,request_remarks,Resource request remarks,no,${external_assistance_requested} = 'yes',,,,,
end_group,requested_resources_end,,,,,,,,
begin_group,facility_communications,Facility and communications status,,,,,field-list,,
integer,aux_facilities_affected,Auxiliary facilities affected,yes,,. >= 0,Value cannot be negative.,,,
integer,facilities_closed_limited,Facilities closed or limited,yes,,. >= 0,Value cannot be negative.,,,
integer,aircraft_vessels_damaged,Aircraft or vessel facilities damaged,yes,,. >= 0,Value cannot be negative.,,,
select_one service_status,internet_cellular_status,Internet or cellular status,yes,,,,,minimal,
select_one service_status,radio_network_status,Radio network status,yes,,,,,minimal,
select_one command_post_status,command_post_status,Command post or staging status,yes,,,,,minimal,
text,facility_comms_remarks,Facility and communications remarks,no,${internet_cellular_status} = 'degraded' or ${internet_cellular_status} = 'unavailable' or ${radio_network_status} = 'degraded' or ${radio_network_status} = 'unavailable' or ${command_post_status} = 'degraded' or ${command_post_status} = 'relocated',,,,,Avoid sensitive location details
end_group,facility_communications_end,,,,,,,,
begin_group,situation_changes,Situation and changes,,,,,field-list,,
text,current_situation,Current situation,yes,,,,,,Concise operational summary
text,significant_changes,Significant changes since last report,no,${report_type} = 'update' or ${report_type} = 'significant_change',,,,,
text,actions_completed,Actions completed,no,,,,,,
text,planned_actions,Planned actions,no,,,,,,
text,limiting_factors,Limiting factors,no,,,,,,
end_group,situation_changes_end,,,,,,,,
begin_group,leadership_attention,Leadership attention required,,,,,field-list,,
select_one yes_no,leadership_attention_required,Leadership attention required,yes,,,,,minimal,
text,leadership_attention_summary,Leadership attention summary,yes,${leadership_attention_required} = 'yes',,,,,Decision approval or escalation needed
end_group,leadership_attention_end,,,,,,,,
begin_group,document_reference,Official SITREP document reference,,,,,field-list,,
select_one yes_no,official_sitrep_stored,Official SITREP stored in Q-Drive,yes,,,,,minimal,
text,qdrive_sitrep_url,Q-Drive SITREP URL,no,${official_sitrep_stored} = 'yes',,,,,
text,document_filename,Document filename,no,${official_sitrep_stored} = 'yes',,,,,
dateTime,document_datetime,Document date and time,no,${official_sitrep_stored} = 'yes',,,,,
select_one document_type,document_type,Document type,no,${official_sitrep_stored} = 'yes',,,,,
end_group,document_reference_end,,,,,,,,
begin_group,certification,Certification and submission,,,,,field-list,,
select_one yes_no,certify_report,I certify this report is accurate to the best of my knowledge.,yes,,,,,minimal,
end_group,certification_end,,,,,,,,
end,end,Submission end,,,,,,,,
